fromGate,toGate,distance,time
A3G,C10,1826,21
A3G,C11,1789,20
A3G,C12,1722,19
A3G,C14,1190,18
A3G,C15,1135,17
A3G,D1,1508,15
A3G,D2,1537,16
A3G,D3,1558,16
A3G,D4,1740,19
A3G,D5,1739,19
A3G,D6,2090,19
A3G,D7,2006,18
A3G,D8,2019,18
A3G,D9,2081,19
A3G,D10,2142,20
A3G,D11,2141,20
A3G,D12,2137,20
A3G,D9A,2086,19
A3G,E1,2328,23
A3G,E2,2348,24
A3G,E3,2365,24
A3G,E4,2408,25
A3G,E5,2436,25
A3G,E6,2430,25
A3G,E7,2430,25
A3G,E8,2395,24
A3G,E9,2360,24
A3G,E10,2195,21
A3G,E11,2179,21
A3G,E12,2103,20
A3G,E14,2146,20
A3G,E24,2231,22
A3G,E23,2257,22
A3G,E15,2284,23
A3G,E16,2332,23
A3G,E17,2355,24
A3G,E18,2393,24
A3G,E19,2385,24
A3G,E20,2343,24
A3G,E21,2326,23
A3G,E22,2299,23
A3F,A3H,36,1
A3F,A3G,17,1
A3F,A3E,42,1
A3F,A3D,78,1
A3F,A3C,72,1
A3F,A3B,58,1
A3F,A3A,23,1
A3F,A15,403,7
A3F,A14,415,7
A3F,A12,379,7
A3F,A11,355,6
A3F,A10,342,6
A3F,A9,325,6
A3F,A8,296,5
A3F,A7,264,5
A3F,A2,110,2
A3F,A1,151,3
A3F,A17,524,9
A3F,A18,555,10
A3F,A19,563,10
A3F,A20,554,10
A3F,A24,547,9
A3F,A25,439,8
A3F,A26,472,8
A3F,A27,509,9
A3F,A29,516,9
A3F,A30,521,9
A3F,B76,934,12
A3F,B77,931,12
A3F,B79,930,12
A3F,B80,931,12
A3F,B81,932,12
A3F,B83,934,12
A3F,B85,977,13
A3F,B86,977,13
A3F,B86A,977,13
A3F,B87,978,13
A3F,B88,979,13
A3F,B11,1039,15
A3F,B1,1093,15
A3F,B10,1108,16
A3F,B2,1127,16
A3F,B9,1142,16
A3F,B3,1165,17
A3F,B8,1181,17
A3F,B4,1201,17
A3F,B7,1215,17
A3F,B6,1212,17
A3F,B5,1216,17
A3F,B20,1010,14
A3F,B12,1023,14
A3F,B19,1028,14
A3F,B14,1057,15
A3F,B18,1065,15
A3F,B15,1084,15
A3F,B17,1097,15
A3F,B16,1093,15
A3F,B21,1058,15
A3F,B31,1083,15
A3F,B30,1105,16
A3F,B22,1126,16
A3F,B29,1144,16
A3F,B23,1163,17
A3F,B28,1179,17
A3F,B24,1203,17
A3F,B27,1215,17
A3F,B26,1216,18
A3F,B25,1219,18
A3F,B85A,977,13
A3F,B81A,932,12
A3F,B77A,931,12
A3F,B76A,934,12
A3F,B79A,930,12
A3F,C1,1504,15
A3F,C2,1561,16
A3F,C29,1764,20
A3F,C30,1769,20
A3F,C31,1744,19
A3F,C32,1708,19
A3F,C33,1672,18
A3F,C34,1632,17
A3F,C35,1666,18
A3F,C36,1700,18
A3F,C37,1722,19
A3F,C39,1728,19
A3F,C40,1712,19
A3F,C41,1682,18
A3F,C42,1649,18
A3F,C43,1654,18
A3F,C44,1698,18
A3F,C45,1735,19
A3F,C3,1597,17
A3F,C4,1752,19
A3F,C5,1790,20
A3F,C6,1848,21
A3F,C7,1885,22
A3F,C8,1885,22
A3F,C9,1880,21
A3F,C10,1838,21
A3F,C11,1801,20
A3F,C12,1734,19
A3F,C14,1202,18
A3F,C15,1147,17
A3F,D1,1520,15
A3F,D2,1549,16
A3F,D3,1569,16
A3F,D4,1751,19
A3F,D5,1750,19
A3F,D6,2101,19
A3F,D7,2017,18
A3F,D8,2031,18
A3F,D9,2093,19
A3F,D10,2153,20
A3F,D11,2152,20
A3F,D12,2149,20
A3F,D9A,2098,19
A3F,E1,2340,23
A3F,E2,2359,24
A3F,E3,2377,24
A3F,E4,2420,25
A3F,E5,2448,25
A3F,E6,2441,25
A3F,E7,2441,25
A3F,E8,2407,25
A3F,E9,2372,24
A3F,E10,2207,21
A3F,E11,2191,21
A3F,E12,2114,20
A3F,E14,2158,20
A3F,E24,2243,22
A3F,E23,2269,22
A3F,E15,2296,23
A3F,E16,2344,24
A3F,E17,2366,24
A3F,E18,2405,25
A3F,E19,2396,24
A3F,E20,2354,24
A3F,E21,2338,23
A3F,E22,2311,23
A3E,A3H,75,1
A3E,A3G,56,1
A3E,A3F,42,1
A3E,A3D,40,1
A3E,A3C,33,1
A3E,A3B,19,1
A3E,A3A,24,1
A3E,A15,442,8
A3E,A14,454,8
A3E,A12,418,7
A3E,A11,394,7
A3E,A10,380,7
A3E,A9,363,6
A3E,A8,335,6
A3E,A7,303,5
A3E,A2,149,3
A3E,A1,190,3
A3E,A17,563,10
A3E,A18,594,10
A3E,A19,602,10
A3E,A20,593,10
A3E,A24,586,10
A3E,A25,477,8
A3E,A26,511,9
A3E,A27,548,9
A3E,A29,555,10
A3E,A30,560,10
A3E,B76,973,13
A3E,B77,970,13
A3E,B79,969,13
A3E,B80,970,13
A3E,B81,971,13
A3E,B83,973,13
A3E,B85,1016,14
A3E,B86,1016,14
A3E,B86A,1016,14
A3E,B87,1017,14
A3E,B88,1018,14
A3E,B11,1078,15
A3E,B1,1132,16
A3E,B10,1147,16
A3E,B2,1166,17
A3E,B9,1181,17
A3E,B3,1204,17
A3E,B8,1220,18
A3E,B4,1239,18
A3E,B7,1254,18
A3E,B6,1251,18
A3E,B5,1255,18
A3E,B20,1049,15
A3E,B12,1062,15
A3E,B19,1067,15
A3E,B14,1096,15
A3E,B18,1104,16
A3E,B15,1123,16
A3E,B17,1136,16
A3E,B16,1132,16
A3E,B21,1097,16
A3E,B31,1121,16
A3E,B30,1144,16
A3E,B22,1165,17
A3E,B29,1182,17
A3E,B23,1202,17
A3E,B28,1218,18
A3E,B24,1241,18
A3E,B27,1254,18
A3E,B26,1255,18
A3E,B25,1258,18
A3E,B85A,1016,14
A3E,B81A,971,13
A3E,B77A,970,13
A3E,B76A,973,13
A3E,B79A,969,13
A3E,C1,1543,16
A3E,C2,1600,17
A3E,C29,1803,20
A3E,C30,1808,20
A3E,C31,1783,20
A3E,C32,1747,19
A3E,C33,1710,19
A3E,C34,1671,18
A3E,C35,1705,19
A3E,C36,1739,19
A3E,C37,1760,19
A3E,C39,1767,20
A3E,C40,1751,19
A3E,C41,1721,19
A3E,C42,1688,18
A3E,C43,1693,18
A3E,C44,1736,19
A3E,C45,1774,20
A3E,C3,1636,17
A3E,C4,1791,20
A3E,C5,1829,21
A3E,C6,1887,22
A3E,C7,1924,22
A3E,C8,1924,22
A3E,C9,1919,22
A3E,C10,1877,21
A3E,C11,1840,21
A3E,C12,1773,20
A3E,C14,1241,18
A3E,C15,1186,17
A3E,D1,1559,16
A3E,D2,1588,17
A3E,D3,1608,17
A3E,D4,1790,20
A3E,D5,1789,20
A3E,D6,2140,20
A3E,D7,2056,19
A3E,D8,2070,19
A3E,D9,2132,20
A3E,D10,2192,21
A3E,D11,2191,21
A3E,D12,2188,21
A3E,D9A,2136,20
A3E,E1,2379,24
A3E,E2,2398,24
A3E,E3,2416,25
A3E,E4,2459,25
A3E,E5,2487,26
A3E,E6,2480,26
A3E,E7,2480,26
A3E,E8,2446,25
A3E,E9,2411,25
A3E,E10,2245,22
A3E,E11,2230,22
A3E,E12,2153,20
A3E,E14,2197,21
A3E,E24,2282,23
A3E,E23,2307,23
A3E,E15,2335,23
A3E,E16,2382,24
A3E,E17,2405,25
A3E,E18,2444,25
A3E,E19,2435,25
A3E,E20,2393,24
A3E,E21,2377,24
A3E,E22,2350,24
A3D,A3H,110,2
A3D,A3G,91,2
A3D,A3F,78,1
A3D,A3E,40,1
A3D,A3C,11,1
A3D,A3B,25,1
A3D,A3A,59,1
A3D,A15,477,8
A3D,A14,490,8
A3D,A12,454,8
A3D,A11,430,7
A3D,A10,416,7
A3D,A9,399,7
A3D,A8,371,6
A3D,A7,339,6
A3D,A2,185,3
A3D,A1,226,4
A3D,A17,599,10
A3D,A18,630,11
A3D,A19,638,11
A3D,A20,629,11
A3D,A24,622,11
A3D,A25,513,9
A3D,A26,547,9
A3D,A27,584,10
A3D,A29,590,10
A3D,A30,596,10
A3D,B76,1008,14
A3D,B77,1006,14
A3D,B79,1004,14
A3D,B80,1005,14
A3D,B81,1007,14
A3D,B83,1009,14
A3D,B85,1052,14
A3D,B86,1052,14
A3D,B86A,1052,14
A3D,B87,1053,14
A3D,B88,1054,14
A3D,B11,1114,16
A3D,B1,1168,17
