fromGate,toGate,distance,time
B86A,C4,409,8
B86A,C5,447,8
B86A,C6,504,9
B86A,C7,542,10
B86A,C8,542,10
B86A,C9,537,10
B86A,C10,495,9
B86A,C11,458,8
B86A,C12,391,7
B86A,C14,260,5
B86A,C15,205,4
B86A,D1,1120,12
B86A,D2,1149,13
B86A,D3,1169,13
B86A,D4,1351,16
B86A,D5,1350,16
B86A,D6,1701,16
B86A,D7,1617,15
B86A,D8,1630,15
B86A,D9,1693,16
B86A,D10,1753,17
B86A,D11,1752,17
B86A,D12,1748,17
B86A,D9A,1697,16
B86A,E1,1939,20
B86A,E2,1959,21
B86A,E3,1977,21
B86A,E4,2019,22
B86A,E5,2048,22
B86A,E6,2041,22
B86A,E7,2041,22
B86A,E8,2007,22
B86A,E9,1971,21
B86A,E10,1806,18
B86A,E11,1790,18
B86A,E12,1714,17
B86A,E14,1758,17
B86A,E24,1843,19
B86A,E23,1868,19
B86A,E15,1896,20
B86A,E16,1943,20
B86A,E17,1966,21
B86A,E18,2005,22
B86A,E19,1996,21
B86A,E20,1954,21
B86A,E21,1937,20
B86A,E22,1911,20
B87,A3H,943,13
B87,A3G,963,13
B87,A3F,974,13
B87,A3E,1013,14
B87,A3D,1049,14
B87,A3C,1043,14
B87,A3B,1028,14
B87,A3A,993,13
B87,A15,1096,15
B87,A14,1109,15
B87,A12,1073,14
B87,A11,1049,14
B87,A10,1035,14
B87,A9,1018,14
B87,A8,990,13
B87,A7,958,12
B87,A2,889,11
B87,A1,849,11
B87,A17,1130,15
B87,A18,1161,16
B87,A19,1169,16
B87,A20,1160,16
B87,A24,1153,16
B87,A25,1044,14
B87,A26,1078,15
B87,A27,1115,15
B87,A29,1121,15
B87,A30,1127,15
B87,B76,363,6
B87,B77,361,6
B87,B79,359,6
B87,B80,360,6
B87,B81,361,6
B87,B83,364,6
B87,B85,33,1
B87,B86,33,1
B87,B86A,33,1
B87,B88,38,1
B87,B11,468,8
B87,B1,522,9
B87,B10,537,9
B87,B2,556,10
B87,B9,570,10
B87,B3,594,10
B87,B8,610,10
B87,B4,629,11
B87,B7,644,11
B87,B6,640,11
B87,B5,644,11
B87,B20,439,8
B87,B12,451,8
B87,B19,457,8
B87,B14,486,8
B87,B18,494,9
B87,B15,513,9
B87,B17,526,9
B87,B16,522,9
B87,B21,487,8
B87,B31,511,9
B87,B30,534,9
B87,B22,555,10
B87,B29,572,10
B87,B23,592,10
B87,B28,607,10
B87,B24,631,11
B87,B27,644,11
B87,B26,645,11
B87,B25,648,11
B87,B85A,33,1
B87,B81A,361,6
B87,B77A,361,6
B87,B76A,363,6
B87,B79A,359,6
B87,C1,528,10
B87,C2,470,9
B87,C29,1365,17
B87,C30,1369,17
B87,C31,1345,16
B87,C32,1309,16
B87,C33,1272,15
B87,C34,1233,14
B87,C35,1267,15
B87,C36,1301,15
B87,C37,1322,16
B87,C39,1329,16
B87,C40,1312,16
B87,C41,1283,15
B87,C42,1250,15
B87,C43,1255,15
B87,C44,1298,15
B87,C45,1336,16
B87,C3,451,8
B87,C4,410,8
B87,C5,448,8
B87,C6,505,9
B87,C7,543,10
B87,C8,543,10
B87,C9,538,10
B87,C10,496,9
B87,C11,459,8
B87,C12,392,7
B87,C14,261,5
B87,C15,206,4
B87,D1,1121,12
B87,D2,1149,13
B87,D3,1170,13
B87,D4,1352,16
B87,D5,1351,16
B87,D6,1702,16
B87,D7,1618,15
B87,D8,1631,15
B87,D9,1693,16
B87,D10,1754,17
B87,D11,1753,17
B87,D12,1749,17
B87,D9A,1698,16
B87,E1,1940,20
B87,E2,1960,21
B87,E3,1978,21
B87,E4,2020,22
B87,E5,2049,22
B87,E6,2042,22
B87,E7,2042,22
B87,E8,2008,22
B87,E9,1972,21
B87,E10,1807,18
B87,E11,1791,18
B87,E12,1715,17
B87,E14,1759,17
B87,E24,1844,19
B87,E23,1869,19
B87,E15,1897,20
B87,E16,1944,20
B87,E17,1967,21
B87,E18,2006,22
B87,E19,1997,21
B87,E20,1955,21
B87,E21,1938,20
B87,E22,1912,20
B88,A3H,944,13
B88,A3G,963,13
B88,A3F,975,13
B88,A3E,1014,14
B88,A3D,1050,14
B88,A3C,1043,14
B88,A3B,1029,14
B88,A3A,994,13
B88,A15,1097,15
B88,A14,1109,15
B88,A12,1073,14
B88,A11,1049,14
B88,A10,1036,14
B88,A9,1019,14
B88,A8,991,13
B88,A7,959,13
B88,A2,890,11
B88,A1,849,11
B88,A17,1131,15
B88,A18,1161,16
B88,A19,1170,16
B88,A20,1160,16
B88,A24,1153,16
B88,A25,1045,14
B88,A26,1079,15
B88,A27,1116,15
B88,A29,1122,15
B88,A30,1127,15
B88,B76,364,6
B88,B77,361,6
B88,B79,360,6
B88,B80,361,6
B88,B81,362,6
B88,B83,365,6
B88,B85,37,1
B88,B86,37,1
B88,B86A,37,1
B88,B87,38,1
B88,B11,468,8
B88,B1,523,9
B88,B10,537,9
B88,B2,557,10
B88,B9,571,10
B88,B3,595,10
B88,B8,610,10
B88,B4,630,11
B88,B7,645,11
B88,B6,641,11
B88,B5,645,11
B88,B20,439,8
B88,B12,452,8
B88,B19,458,8
B88,B14,486,8
B88,B18,494,9
B88,B15,514,9
B88,B17,526,9
B88,B16,522,9
B88,B21,487,8
B88,B31,512,9
B88,B30,534,9
B88,B22,555,10
B88,B29,573,10
B88,B23,593,10
B88,B28,608,10
B88,B24,632,11
B88,B27,645,11
B88,B26,646,11
B88,B25,649,11
B88,B85A,37,1
B88,B81A,362,6
B88,B77A,361,6
B88,B76A,364,6
B88,B79A,360,6
B88,C1,529,10
B88,C2,470,9
B88,C29,1365,17
B88,C30,1370,17
B88,C31,1345,16
B88,C32,1310,16
B88,C33,1273,15
B88,C34,1234,14
B88,C35,1267,15
B88,C36,1302,15
B88,C37,1323,16
B88,C39,1329,16
B88,C40,1313,16
B88,C41,1283,15
B88,C42,1251,15
B88,C43,1256,15
B88,C44,1299,15
B88,C45,1336,16
B88,C3,452,8
B88,C4,411,8
B88,C5,449,8
B88,C6,506,9
B88,C7,544,10
B88,C8,543,10
B88,C9,538,10
B88,C10,496,9
B88,C11,459,8
B88,C12,392,7
B88,C14,262,5
B88,C15,206,4
B88,D1,1121,12
B88,D2,1150,13
B88,D3,1171,13
B88,D4,1352,16
B88,D5,1352,16
B88,D6,1702,16
B88,D7,1619,15
B88,D8,1632,15
B88,D9,1694,16
B88,D10,1755,17
B88,D11,1754,17
B88,D12,1750,17
B88,D9A,1699,16
B88,E1,1941,20
B88,E2,1961,21
B88,E3,1978,21
B88,E4,2021,22
B88,E5,2049,22
B88,E6,2043,22
B88,E7,2043,22
B88,E8,2008,22
B88,E9,1973,21
B88,E10,1808,18
B88,E11,1792,18
B88,E12,1716,17
B88,E14,1759,17
B88,E24,1844,19
B88,E23,1870,19
B88,E15,1897,20
B88,E16,1945,21
B88,E17,1968,21
B88,E18,2006,22
B88,E19,1998,21
B88,E20,1956,21
B88,E21,1939,20
B88,E22,1912,20
B11,A3H,1003,14
B11,A3G,1023,14
B11,A3F,1034,14
B11,A3E,1073,15
B11,A3D,1109,16
B11,A3C,1103,16
B11,A3B,1088,15
B11,A3A,1054,15
B11,A15,1157,16
B11,A14,1169,16
B11,A12,1133,16
B11,A11,1109,15
B11,A10,1095,15
B11,A9,1078,15
B11,A8,1050,14
B11,A7,1018,14
B11,A2,949,13
B11,A1,909,12
B11,A17,1190,17
B11,A18,1221,17
B11,A19,1229,17
B11,A20,1220,17
B11,A24,1213,17
B11,A25,1104,15
B11,A26,1138,16
B11,A27,1175,16
B11,A29,1182,17
B11,A30,1187,17
B11,B76,423,7
B11,B77,421,7
B11,B79,419,7
B11,B80,420,7
B11,B81,422,7
B11,B83,424,7
B11,B85,466,8
B11,B86,466,8
B11,B86A,466,8
B11,B87,467,8
B11,B88,468,8
B11,B1,58,1
B11,B10,72,1
B11,B2,92,2
B11,B9,106,2
B11,B3,130,2
B11,B8,145,2
B11,B4,165,3
B11,B7,180,3
B11,B6,176,3
B11,B5,180,3
B11,B20,192,4
B11,B12,205,4
B11,B19,210,4
B11,B14,239,5
B11,B18,247,5
B11,B15,267,5
B11,B17,279,5
B11,B16,275,5
B11,B21,244,5
B11,B31,269,5
B11,B30,291,6
B11,B22,312,6
B11,B29,330,6
B11,B23,349,7
B11,B28,365,7
B11,B24,389,7
B11,B27,402,7
B11,B26,403,7
B11,B25,406,7
B11,B85A,466,8
B11,B81A,422,7
B11,B77A,421,7
B11,B76A,423,7
B11,B79A,419,7
B11,C1,1165,13
B11,C2,1222,14
B11,C29,1425,18
B11,C30,1429,18
B11,C31,1405,18
B11,C32,1369,17
B11,C33,1332,16
B11,C34,1293,16
B11,C35,1327,16
B11,C36,1361,17
B11,C37,1382,17
B11,C39,1389,17
B11,C40,1372,17
B11,C41,1343,16
B11,C42,1310,16
B11,C43,1315,16
B11,C44,1358,17
B11,C45,1396,17
B11,C3,1258,15
B11,C4,840,15
B11,C5,878,16
B11,C6,935,17
B11,C7,973,17
B11,C8,972,17
B11,C9,967,17
B11,C10,925,17
B11,C11,889,16
B11,C12,821,15
B11,C14,691,13
B11,C15,636,12
B11,D1,1181,14
B11,D2,1210,14
B11,D3,1230,15
B11,D4,1412,18
B11,D5,1411,18
B11,D6,1762,18
B11,D7,1678,16
B11,D8,1691,17
B11,D9,1754,18
B11,D10,1814,19
B11,D11,1813,19
B11,D12,1810,19
B11,D9A,1758,18
B11,E1,2000,22
B11,E2,2020,22
B11,E3,2038,22
B11,E4,2080,23
B11,E5,2109,24
B11,E6,2102,23
B11,E7,2102,23
B11,E8,2068,23
B11,E9,2032,22
B11,E10,1867,20
B11,E11,1851,19
B11,E12,1775,18
B11,E14,1819,19
B11,E24,1904,20
B11,E23,1929,21
B11,E15,1957,21
B11,E16,2004,22
B11,E17,2027,22
B11,E18,2066,23
B11,E19,2057,23
B11,E20,2015,22
B11,E21,1999,22
B11,E22,1972,21
B1,A3H,1058,15
B1,A3G,1077,15
B1,A3F,1089,15
B1,A3E,1128,16
B1,A3D,1164,17
B1,A3C,1157,16
B1,A3B,1143,16
B1,A3A,1108,16
B1,A15,1211,17
B1,A14,1223,17
B1,A12,1187,17
B1,A11,1163,16
B1,A10,1150,16
B1,A9,1133,16
B1,A8,1105,15
B1,A7,1073,15
B1,A2,1004,14
B1,A1,963,13
B1,A17,1245,18
B1,A18,1275,18
B1,A19,1284,18
B1,A20,1274,18
B1,A24,1267,18
B1,A25,1159,16
B1,A26,1193,17
B1,A27,1230,17
B1,A29,1236,17
B1,A30,1241,18
B1,B76,478,8
B1,B77,475,8
B1,B79,474,8
B1,B80,475,8
B1,B81,476,8
B1,B83,478,8
B1,B85,520,9
B1,B86,520,9
B1,B86A,521,9
B1,B87,522,9
B1,B88,522,9
B1,B11,58,1
B1,B10,23,1
B1,B2,42,1
B1,B9,57,1
B1,B3,80,1
B1,B8,96,2
B1,B4,115,2
B1,B7,130,2
B1,B6,127,2
B1,B5,131,2
B1,B20,246,5
B1,B12,259,5
B1,B19,265,5
B1,B14,294,6
B1,B18,302,6
B1,B15,321,6
B1,B17,334,6
B1,B16,329,6
B1,B21,299,6
B1,B31,323,6
B1,B30,345,6
B1,B22,366,7
B1,B29,384,7
B1,B23,404,7
B1,B28,419,8
B1,B24,443,8
B1,B27,456,8
B1,B26,457,8
B1,B25,460,8
B1,B85A,520,9
B1,B81A,476,8
B1,B77A,475,8
B1,B76A,478,8
B1,B79A,474,8
B1,C1,1219,14
B1,C2,1277,15
B1,C29,1479,19
B1,C30,1484,19
B1,C31,1459,18
B1,C32,1423,18
B1,C33,1387,17
B1,C34,1347,17
B1,C35,1381,17
B1,C36,1415,18
B1,C37,1437,18
B1,C39,1443,18
B1,C40,1427,18
B1,C41,1397,17
B1,C42,1364,17
B1,C43,1369,17
B1,C44,1413,18
B1,C45,1450,18
B1,C3,1312,16
B1,C4,894,16
B1,C5,932,17
B1,C6,989,18
B1,C7,1027,18
B1,C8,1027,18
B1,C9,1022,18
B1,C10,980,17
B1,C11,943,17
B1,C12,876,16
B1,C14,745,14
B1,C15,690,13
B1,D1,1235,15
B1,D2,1264,15
B1,D3,1284,15
B1,D4,1466,18
B1,D5,1465,18
B1,D6,1816,19
B1,D7,1732,17
B1,D8,1746,18
B1,D9,1808,19
B1,D10,1868,20
B1,D11,1867,20
B1,D12,1864,19
B1,D9A,1813,19
B1,E1,2055,23
B1,E2,2074,23
B1,E3,2092,23
B1,E4,2135,24
B1,E5,2163,24
B1,E6,2157,24
B1,E7,2157,24
B1,E8,2122,24
B1,E9,2087,23
B1,E10,1922,20
B1,E11,1906,20
B1,E12,1829,19
B1,E14,1873,20
B1,E24,1958,21
B1,E23,1984,22
B1,E15,2011,22
B1,E16,2059,23
B1,E17,2081,23
B1,E18,2120,24
B1,E19,2111,24
B1,E20,2070,23
B1,E21,2053,23
B1,E22,2026,22
B10,A3H,1072,15
B10,A3G,1092,15
B10,A3F,1104,16
B10,A3E,1142,16
B10,A3D,1178,17
B10,A3C,1172,17
B10,A3B,1158,16
B10,A3A,1123,16
B10,A15,1226,17
B10,A14,1238,18
B10,A12,1202,17
B10,A11,1178,17
B10,A10,1164,16
B10,A9,1147,16
B10,A8,1119,16
B10,A7,1087,15
B10,A2,1018,14
B10,A1,978,13
B10,A17,1260,18
B10,A18,1290,18
B10,A19,1298,19
B10,A20,1289,18
B10,A24,1282,18
B10,A25,1174,16
B10,A26,1207,17
B10,A27,1244,18
B10,A29,1251,18
B10,A30,1256,18
B10,B76,492,9
B10,B77,490,9
B10,B79,488,8
B10,B80,489,9
B10,B81,491,9
B10,B83,493,9
B10,B85,535,9
B10,B86,535,9
B10,B86A,535,9
B10,B87,536,9
B10,B88,537,9
B10,B11,72,1
B10,B1,23,1
B10,B2,25,1
B10,B9,40,1
B10,B3,63,1
B10,B8,79,1
B10,B4,99,2
B10,B7,113,2
B10,B6,110,2
B10,B5,114,2
B10,B20,261,5
B10,B12,274,5
B10,B19,279,5
B10,B14,308,6
B10,B18,316,6
B10,B15,336,6
B10,B17,348,6
B10,B16,344,6
B10,B21,313,6
B10,B31,338,6
B10,B30,360,7
B10,B22,381,7
B10,B29,399,7
B10,B23,418,8
B10,B28,434,8
B10,B24,458,8
B10,B27,471,9
B10,B26,472,9
B10,B25,475,9
B10,B85A,535,9
B10,B81A,491,9
B10,B77A,490,9
B10,B76A,492,9
B10,B79A,488,8
B10,C1,1234,15
B10,C2,1291,16
B10,C29,1494,19
B10,C30,1498,19
B10,C31,1474,19
B10,C32,1438,18
B10,C33,1401,17
B10,C34,1362,17
B10,C35,1396,17
B10,C36,1430,18
B10,C37,1451,18
B10,C39,1458,18
B10,C40,1441,18
B10,C41,1412,18
B10,C42,1379,17
B10,C43,1384,17
B10,C44,1427,18
B10,C45,1465,19
B10,C3,1327,16
B10,C4,909,16
B10,C5,947,17
B10,C6,1004,18
B10,C7,1042,18
B10,C8,1042,18
B10,C9,1036,18
B10,C10,994,18
B10,C11,958,17
B10,C12,890,16
B10,C14,760,14
B10,C15,705,13
B10,D1,1250,15
B10,D2,1279,15
B10,D3,1299,16
B10,D4,1481,19
B10,D5,1480,19
B10,D6,1831,19
B10,D7,1747,18
B10,D8,1761,18
B10,D9,1823,19
B10,D10,1883,20
B10,D11,1882,20
B10,D12,1879,20
B10,D9A,1827,19
B10,E1,2069,23
B10,E2,2089,23
B10,E3,2107,24
B10,E4,2149,24
B10,E5,2178,25
B10,E6,2171,25
B10,E7,2171,25
B10,E8,2137,24
B10,E9,2102,23
B10,E10,1936,21
B10,E11,1921,20
B10,E12,1844,19
B10,E14,1888,20
B10,E24,1973,21
B10,E23,1998,22
B10,E15,2026,22
B10,E16,2073,23
B10,E17,2096,23
B10,E18,2135,24
B10,E19,2126,24
B10,E20,2084,23
B10,E21,2068,23
B10,E22,2041,22
B2,A3H,1092,15
B2,A3G,1111,16
B2,A3F,1123,16
B2,A3E,1162,17
B2,A3D,1198,17
B2,A3C,1192,17
B2,A3B,1177,17
B2,A3A,1142,16
B2,A15,1245,18
B2,A14,1257,18
B2,A12,1221,17
B2,A11,1197,17
B2,A10,1184,17
B2,A9,1167,16
B2,A8,1139,16
B2,A7,1107,15
B2,A2,1038,14
B2,A1,997,14
B2,A17,1279,18
B2,A18,1310,19
B2,A19,1318,19
B2,A20,1308,19
B2,A24,1302,19
B2,A25,1193,17
B2,A26,1227,17
B2,A27,1264,18
B2,A29,1270,18
B2,A30,1276,18
B2,B76,512,9
B2,B77,509,9
B2,B79,508,9
B2,B80,509,9
B2,B81,510,9
B2,B83,513,9
B2,B85,554,10
B2,B86,555,10
B2,B86A,555,10
B2,B87,556,10
B2,B88,556,10
B2,B11,92,2
B2,B1,42,1
B2,B10,25,1
B2,B9,19,1
B2,B3,42,1
B2,B8,58,1
B2,B4,78,1
B2,B7,92,2
B2,B6,89,1
B2,B5,93,2
B2,B20,281,5
B2,B12,293,6
B2,B19,299,6
B2,B14,328,6
B2,B18,336,6
B2,B15,355,7
B2,B17,368,7
B2,B16,364,7
B2,B21,333,6
B2,B31,357,7
B2,B30,380,7
B2,B22,401,7
B2,B29,418,8
B2,B23,438,8
B2,B28,454,8
B2,B24,477,9
B2,B27,490,9
B2,B26,491,9
B2,B25,494,9
B2,B85A,554,10
B2,B81A,510,9
B2,B77A,509,9
B2,B76A,512,9
B2,B79A,508,9
B2,C1,1253,15
B2,C2,1311,16
B2,C29,1513,19
B2,C30,1518,19
B2,C31,1493,19
B2,C32,1458,18
B2,C33,1421,18
B2,C34,1382,17
B2,C35,1415,18
B2,C36,1450,18
B2,C37,1471,19
B2,C39,1477,19
B2,C40,1461,18
B2,C41,1431,18
B2,C42,1399,17
B2,C43,1404,18
B2,C44,1447,18
B2,C45,1484,19
B2,C3,1347,16
B2,C4,928,17
B2,C5,966,17
B2,C6,1024,18
B2,C7,1061,19
B2,C8,1061,19
B2,C9,1056,19
B2,C10,1014,18
B2,C11,977,17
B2,C12,910,16
B2,C14,780,14
B2,C15,724,13
B2,D1,1269,15
B2,D2,1298,16
B2,D3,1319,16
B2,D4,1500,19
B2,D5,1500,19
B2,D6,1851,19
B2,D7,1767,18
B2,D8,1780,18
B2,D9,1842,19
B2,D10,1903,20
B2,D11,1902,20
B2,D12,1898,20
B2,D9A,1847,19
B2,E1,2089,23
B2,E2,2109,24
B2,E3,2126,24
B2,E4,2169,25
B2,E5,2197,25
B2,E6,2191,25
B2,E7,2191,25
B2,E8,2156,24
B2,E9,2121,24
B2,E10,1956,21
B2,E11,1940,21
B2,E12,1864,20
B2,E14,1907,20
B2,E24,1992,22
B2,E23,2018,22
B2,E15,2045,23
B2,E16,2093,23
B2,E17,2116,24
B2,E18,2154,24
B2,E19,2146,24
B2,E20,2104,24
B2,E21,2087,23
B2,E22,2060,23
B9,A3H,1106,16
B9,A3G,1126,16
B9,A3F,1137,16
B9,A3E,1176,17
B9,A3D,1212,17
B9,A3C,1206,17
B9,A3B,1191,17
B9,A3A,1156,16
B9,A15,1259,18
B9,A14,1272,18
B9,A12,1235,17
B9,A11,1211,17
B9,A10,1198,17
B9,A9,1181,17
B9,A8,1153,16
B9,A7,1121,16
B9,A2,1052,14
B9,A1,1012,14
B9,A17,1293,18
B9,A18,1324,19
B9,A19,1332,19
B9,A20,1323,19
B9,A24,1316,19
B9,A25,1207,17
B9,A26,1241,18
B9,A27,1278,18
B9,A29,1284,18
B9,A30,1290,18
B9,B76,526,9
B9,B77,524,9
B9,B79,522,9
B9,B80,523,9
B9,B81,524,9
B9,B83,527,9
B9,B85,569,10
B9,B86,569,10
B9,B86A,569,10
B9,B87,570,10
B9,B88,571,10
B9,B11,106,2
B9,B1,57,1
B9,B10,40,1
B9,B2,19,1
B9,B3,32,1
B9,B8,48,1
B9,B4,67,1
B9,B7,82,1
B9,B6,78,1
B9,B5,82,1
B9,B20,295,6
B9,B12,308,6
B9,B19,313,6
B9,B14,342,6
B9,B18,350,6
B9,B15,369,7
B9,B17,382,7
B9,B16,378,7
B9,B21,347,6
B9,B31,372,7
B9,B30,394,7
B9,B22,415,8
B9,B29,433,8
B9,B23,452,8
B9,B28,468,8
B9,B24,492,9
B9,B27,505,9
B9,B26,505,9
B9,B25,508,9
B9,B85A,569,10
B9,B81A,524,9
B9,B77A,524,9
B9,B76A,526,9
B9,B79A,522,9
B9,C1,1268,15
B9,C2,1325,16
B9,C29,1528,20
B9,C30,1532,20
B9,C31,1508,19
B9,C32,1472,19
B9,C33,1435,18
B9,C34,1396,17
B9,C35,1430,18
B9,C36,1464,19
B9,C37,1485,19
B9,C39,1492,19
B9,C40,1475,19
B9,C41,1446,18
B9,C42,1413,18
B9,C43,1418,18
B9,C44,1461,18
B9,C45,1499,19
B9,C3,1361,17
B9,C4,943,17
B9,C5,981,17
B9,C6,1038,18
B9,C7,1076,19
B9,C8,1075,19
B9,C9,1070,19
B9,C10,1028,18
B9,C11,991,18
B9,C12,924,17
B9,C14,794,14
B9,C15,738,13
B9,D1,1284,15
B9,D2,1312,16
B9,D3,1333,16
B9,D4,1515,19
B9,D5,1514,19
B9,D6,1865,19
B9,D7,1781,18
B9,D8,1794,18
B9,D9,1856,19
B9,D10,1917,20
B9,D11,1916,20
B9,D12,1912,20
B9,D9A,1861,19
B9,E1,2103,23
B9,E2,2123,24
B9,E3,2141,24
B9,E4,2183,25
B9,E5,2212,25
B9,E6,2205,25
B9,E7,2205,25
B9,E8,2171,25
B9,E9,2135,24
B9,E10,1970,21
B9,E11,1954,21
B9,E12,1878,20
B9,E14,1922,20
B9,E24,2007,22
B9,E23,2032,22
B9,E15,2060,23
B9,E16,2107,24
B9,E17,2130,24
B9,E18,2168,25
B9,E19,2160,24
B9,E20,2118,24
B9,E21,2101,23
B9,E22,2075,23
B3,A3H,1130,16
B3,A3G,1149,16
B3,A3F,1161,17
B3,A3E,1200,17
B3,A3D,1236,18
B3,A3C,1229,18
B3,A3B,1215,17
B3,A3A,1180,17
B3,A15,1283,18
B3,A14,1295,18
B3,A12,1259,18
B3,A11,1235,17
B3,A10,1222,17
B3,A9,1205,17
B3,A8,1177,16
B3,A7,1145,16
B3,A2,1076,15
B3,A1,1035,14
B3,A17,1317,19
B3,A18,1347,19
B3,A19,1356,19
B3,A20,1346,19
B3,A24,1339,19
B3,A25,1231,17
B3,A26,1265,18
B3,A27,1302,19
B3,A29,1308,19
B3,A30,1313,19
B3,B76,550,10
B3,B77,547,9
B3,B79,546,9
B3,B80,547,9
B3,B81,548,9
B3,B83,550,10
B3,B85,592,10
B3,B86,592,10
B3,B86A,593,10
B3,B87,594,10
B3,B88,594,10
B3,B11,130,2
B3,B1,80,1
B3,B10,63,1
B3,B2,42,1
B3,B9,32,1
B3,B8,20,1
B3,B4,40,1
B3,B7,54,1
B3,B6,51,1
B3,B5,55,1
B3,B20,318,6
B3,B12,331,6
B3,B19,337,6
B3,B14,366,7
B3,B18,374,7
B3,B15,393,7
B3,B17,406,7
B3,B16,401,7
B3,B21,371,7
B3,B31,395,7
B3,B30,418,8
B3,B22,438,8
B3,B29,456,8
B3,B23,476,9
B3,B28,491,9
B3,B24,515,9
B3,B27,528,9
B3,B26,529,10
B3,B25,532,10
B3,B85A,592,10
B3,B81A,548,9
B3,B77A,547,9
B3,B76A,550,10
B3,B79A,546,9
B3,C1,1291,16
B3,C2,1349,17
B3,C29,1551,20
B3,C30,1556,20
B3,C31,1531,20
B3,C32,1495,19
B3,C33,1459,18
B3,C34,1419,18
B3,C35,1453,18
B3,C36,1487,19
B3,C37,1509,19
B3,C39,1515,19
B3,C40,1499,19
B3,C41,1469,19
B3,C42,1436,18
B3,C43,1441,18
B3,C44,1485,19
B3,C45,1522,19
B3,C3,1384,17
B3,C4,966,17
B3,C5,1004,18
B3,C6,1061,19
B3,C7,1099,19
B3,C8,1099,19
B3,C9,1094,19
B3,C10,1052,19
B3,C11,1015,18
B3,C12,948,17
B3,C14,817,15
B3,C15,762,14
B3,D1,1307,16
B3,D2,1336,16
B3,D3,1356,17
B3,D4,1538,20
B3,D5,1537,20
B3,D6,1888,20
B3,D7,1804,18
B3,D8,1818,19
B3,D9,1880,20
B3,D10,1940,21
B3,D11,1939,21
B3,D12,1936,21
B3,D9A,1885,20
B3,E1,2127,24
B3,E2,2146,24
B3,E3,2164,25
B3,E4,2207,25
B3,E5,2235,26
B3,E6,2229,26
B3,E7,2229,26
B3,E8,2194,25
B3,E9,2159,24
B3,E10,1994,22
B3,E11,1978,21
B3,E12,1901,20
B3,E14,1945,21
B3,E24,2030,22
B3,E23,2056,23
B3,E15,2083,23
B3,E16,2131,24
B3,E17,2153,24
B3,E18,2192,25
B3,E19,2183,25
B3,E20,2142,24
B3,E21,2125,24
B3,E22,2098,23
B8,A3H,1145,16
B8,A3G,1165,17
B8,A3F,1177,17
B8,A3E,1216,17
B8,A3D,1251,18
B8,A3C,1245,18
B8,A3B,1231,18
B8,A3A,1196,17
B8,A15,1299,19
B8,A14,1311,19
B8,A12,1275,18
B8,A11,1251,18
B8,A10,1238,18
B8,A9,1220,17
B8,A8,1192,17
B8,A7,1160,16
B8,A2,1091,15
B8,A1,1051,14
B8,A17,1333,19
B8,A18,1363,20
B8,A19,1371,20
B8,A20,1362,20
B8,A24,1355,19
B8,A25,1247,18
B8,A26,1280,18
B8,A27,1317,19
B8,A29,1324,19
B8,A30,1329,19
B8,B76,565,10
B8,B77,563,10
B8,B79,561,10
B8,B80,563,10
B8,B81,564,10
B8,B83,566,10
B8,B85,608,10
B8,B86,608,10
B8,B86A,608,10
B8,B87,609,11
B8,B88,610,11
B8,B11,145,2
B8,B1,96,2
B8,B10,79,1
B8,B2,58,1
B8,B9,48,1
B8,B3,20,1
B8,B4,25,1
B8,B7,40,1
B8,B6,36,1
B8,B5,40,1
B8,B20,334,6
B8,B12,347,6
B8,B19,353,6
B8,B14,381,7
B8,B18,389,7
B8,B15,409,7
B8,B17,421,8
B8,B16,417,8
B8,B21,386,7
B8,B31,411,8
B8,B30,433,8
B8,B22,454,8
B8,B29,472,9
B8,B23,492,9
B8,B28,507,9
B8,B24,531,10
B8,B27,544,10
B8,B26,545,10
B8,B25,548,10
B8,B85A,608,10
B8,B81A,564,10
B8,B77A,563,10
B8,B76A,565,10
B8,B79A,561,10
B8,C1,1307,16
B8,C2,1364,17
B8,C29,1567,20
B8,C30,1572,20
B8,C31,1547,20
B8,C32,1511,19
B8,C33,1474,19
B8,C34,1435,18
B8,C35,1469,19
B8,C36,1503,19
B8,C37,1524,20
B8,C39,1531,20
B8,C40,1514,19
B8,C41,1485,19
B8,C42,1452,18
B8,C43,1457,18
B8,C44,1500,19
B8,C45,1538,20
B8,C3,1400,17
B8,C4,982,17
B8,C5,1020,18
B8,C6,1077,19
B8,C7,1115,20
B8,C8,1115,20
B8,C9,1109,20
B8,C10,1068,19
B8,C11,1031,18
B8,C12,964,17
B8,C14,833,15
B8,C15,778,14
B8,D1,1323,16
B8,D2,1352,17
B8,D3,1372,17
B8,D4,1554,20
B8,D5,1553,20
B8,D6,1904,20
B8,D7,1820,19
B8,D8,1834,19
B8,D9,1896,20
B8,D10,1956,21
B8,D11,1955,21
B8,D12,1952,21
B8,D9A,1900,20
B8,E1,2142,24
B8,E2,2162,24
B8,E3,2180,25
B8,E4,2223,25
B8,E5,2251,26
B8,E6,2244,26
B8,E7,2244,26
B8,E8,2210,25
B8,E9,2175,25
B8,E10,2009,22
B8,E11,1994,22
B8,E12,1917,20
B8,E14,1961,21
B8,E24,2046,23
B8,E23,2071,23
B8,E15,2099,23
B8,E16,2146,24
B8,E17,2169,25
B8,E18,2208,25
B8,E19,2199,25
B8,E20,2157,24
B8,E21,2141,24
B8,E22,2114,24
B4,A3H,1165,17
B4,A3G,1184,17
B4,A3F,1196,17
