checkin_counter,gateNumber,distance,time
United Economy Check-In,A7,2355,29
United Economy Check-In,A2,2286,28
United Economy Check-In,A1,2246,27
United Economy Check-In,A17,835,26
United Economy Check-In,A18,866,26
United Economy Check-In,A19,874,26
United Economy Check-In,A20,865,26
United Economy Check-In,A24,858,26
United Economy Check-In,A25,825,25
United Economy Check-In,A26,858,26
United Economy Check-In,A27,895,27
United Economy Check-In,A29,902,27
United Economy Check-In,A30,907,27
United Economy Check-In,B76,1930,26
United Economy Check-In,B77,1928,26
United Economy Check-In,B79,1926,26
United Economy Check-In,B80,1927,26
United Economy Check-In,B81,1929,26
United Economy Check-In,B83,1931,26
United Economy Check-In,B85,1974,29
United Economy Check-In,B86,1974,29
United Economy Check-In,B86A,1974,29
United Economy Check-In,B87,1975,29
United Economy Check-In,B88,1976,29
United Economy Check-In,B11,2035,30
United Economy Check-In,B1,2090,31
United Economy Check-In,B10,2105,31
United Economy Check-In,B2,2124,32
United Economy Check-In,B9,2138,32
United Economy Check-In,B3,2162,32
United Economy Check-In,B8,2178,32
United Economy Check-In,B4,2197,33
United Economy Check-In,B7,2212,33
United Economy Check-In,B6,2208,33
United Economy Check-In,B5,2212,33
United Economy Check-In,B20,2006,30
United Economy Check-In,B12,2019,30
United Economy Check-In,B19,2025,30
United Economy Check-In,B14,2054,30
United Economy Check-In,B18,2062,31
United Economy Check-In,B15,2081,31
United Economy Check-In,B17,2094,31
United Economy Check-In,B16,2089,31
United Economy Check-In,B21,2054,30
United Economy Check-In,B31,2079,31
United Economy Check-In,B30,2101,31
United Economy Check-In,B22,2122,32
United Economy Check-In,B29,2140,32
United Economy Check-In,B23,2160,34
United Economy Check-In,B28,2175,34
United Economy Check-In,B24,2199,35
United Economy Check-In,B27,2212,35
United Economy Check-In,B26,2213,35
United Economy Check-In,B25,2216,35
United Economy Check-In,B85A,1974,31
United Economy Check-In,B83A ,unknown,unknown
United Economy Check-In,B81A,1929,30
United Economy Check-In,B77A,1928,30
United Economy Check-In,B76A,1930,30
United Economy Check-In,B79A,1926,30
United Economy Check-In,C1,1146,23
United Economy Check-In,C2,1203,24
United Economy Check-In,C29,1281,25
United Economy Check-In,C30,1286,26
United Economy Check-In,C31,1261,25
United Economy Check-In,C32,1226,25
United Economy Check-In,C33,1189,24
United Economy Check-In,C34,1150,23
United Economy Check-In,C35,1183,24
United Economy Check-In,C36,1218,24
United Economy Check-In,C37,1239,25
United Economy Check-In,C39,1245,25
United Economy Check-In,C40,1229,25
United Economy Check-In,C41,1199,24
United Economy Check-In,C42,1167,24
United Economy Check-In,C43,1172,24
United Economy Check-In,C44,1215,24
United Economy Check-In,C45,1252,25
United Economy Check-In,C3,1239,25
United Economy Check-In,C4,1394,27
United Economy Check-In,C5,1432,28
United Economy Check-In,C6,1489,29
United Economy Check-In,C7,1527,30
United Economy Check-In,C8,1527,30
United Economy Check-In,C9,1521,29
United Economy Check-In,C10,1480,29
United Economy Check-In,C11,1443,28
United Economy Check-In,C12,1376,27
United Economy Check-In,C14,1421,28
United Economy Check-In,C15,1472,29
United Economy Check-In,D1,1162,23
United Economy Check-In,D2,1191,24
United Economy Check-In,D3,1211,24
United Economy Check-In,D4,1393,27
United Economy Check-In,D5,1392,27
United Economy Check-In,D6,1445,28
United Economy Check-In,D7,1788,29
United Economy Check-In,D8,1801,29
United Economy Check-In,D9,1863,30
United Economy Check-In,D10,1924,31
United Economy Check-In,D11,1923,31
United Economy Check-In,D12,1919,31
United Economy Check-In,D9A,1868,30
United Economy Check-In,E1,2110,34
United Economy Check-In,E2,2130,34
United Economy Check-In,E3,2148,35
United Economy Check-In,E4,2190,35
United Economy Check-In,E5,2218,36
United Economy Check-In,E6,2212,36
United Economy Check-In,E7,2212,36
United Economy Check-In,E8,2178,35
United Economy Check-In,E9,2142,35
United Economy Check-In,E10,1977,32
United Economy Check-In,E11,1961,32
United Economy Check-In,E12,1885,30
United Economy Check-In,E14,1928,31
United Economy Check-In,E24,2013,32
United Economy Check-In,E23,2039,33
United Economy Check-In,E15,2066,33
United Economy Check-In,E16,2114,34
United Economy Check-In,E17,2137,35
United Economy Check-In,E18,3189,43
United Economy Check-In,E19,3181,43
United Economy Check-In,E20,3139,42
United Economy Check-In,E21,3122,42
United Economy Check-In,E22,3096,41
United Check-In,A3H,1830,31
United Check-In,A3G,1850,31
United Check-In,A3F,1862,31
United Check-In,A3E,1901,32
United Check-In,A3D,1936,32
United Check-In,A3C,1930,32
United Check-In,A3B,1916,32
United Check-In,A3A,1881,31
United Check-In,A15,1984,33
United Check-In,A14,1996,33
United Check-In,A12,1960,32
United Check-In,A11,1936,32
United Check-In,A10,1923,32
United Check-In,A9,1906,31
United Check-In,A8,1877,31
United Check-In,A7,1845,30
United Check-In,A2,1776,29
United Check-In,A1,1736,29
United Check-In,A17,1541,25
United Check-In,A18,1572,26
United Check-In,A19,1580,26
United Check-In,A20,1571,26
United Check-In,A24,1564,26
United Check-In,A25,1531,25
United Check-In,A26,1565,26
United Check-In,A27,1602,26
United Check-In,A29,1608,27
United Check-In,A30,1613,27
United Check-In,B76,1112,21
United Check-In,B77,1109,21
United Check-In,B79,1108,21
United Check-In,B80,1109,21
United Check-In,B81,1110,21
United Check-In,B83,1112,21
United Check-In,B85,1155,22
United Check-In,B86,1155,22
United Check-In,B86A,1155,22
United Check-In,B87,1156,22
United Check-In,B88,1157,22
United Check-In,B11,1217,23
United Check-In,B1,1271,24
United Check-In,B10,1286,24
United Check-In,B2,1305,25
United Check-In,B9,1320,25
United Check-In,B3,1343,25
United Check-In,B8,1359,25
United Check-In,B4,1379,26
United Check-In,B7,1393,26
United Check-In,B6,1390,26
United Check-In,B5,1394,26
United Check-In,B20,1188,23
United Check-In,B12,1201,23
United Check-In,B19,1206,23
United Check-In,B14,1235,23
United Check-In,B18,1243,23
United Check-In,B15,1262,24
United Check-In,B17,1275,24
United Check-In,B16,1271,24
United Check-In,B21,1236,23
United Check-In,B31,1261,24
United Check-In,B30,1283,24
United Check-In,B22,1304,25
